Protein,KO,Description
PN96_RS19725,K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
PN96_RS12250,K01803,"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
PN96_RS16290,K15552,tauC; taurine transport system permease protein
PN96_RS11690,K02810,"scrA, sacP, sacX, ptsS; sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]"
PN96_RS07540,K02004,ABC.CD.P; putative ABC transport system permease protein
PN96_RS16835,,
PN96_RS00970,K09888,zapA; cell division protein ZapA
PN96_RS09470,K01886,"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"
PN96_RS07015,,
PN96_RS20775,K02020,modA; molybdate transport system substrate-binding protein
PN96_RS21135,K00975,glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
PN96_RS15655,K15536,cybC; soluble cytochrome b562
PN96_RS06560,K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
PN96_RS22990,,
PN96_RS08675,,
PN96_RS09505,K03305,"TC.POT; proton-dependent oligopeptide transporter, POT family"
PN96_RS22915,K02257,"COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"
PN96_RS14760,K04088,hflK; modulator of FtsH protease HflK
PN96_RS02125,K03767,PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
PN96_RS12475,K00957,cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
PN96_RS09790,,
PN96_RS05600,K24866,sirC; precorrin-2 dehydrogenase [EC:1.3.1.76]
PN96_RS11230,,
PN96_RS08115,K13933,mdcE; malonate decarboxylase gamma subunit [EC:4.1.1.87]
PN96_RS24215,,
PN96_RS18510,,
PN96_RS17535,K05952,K05952; uncharacterized protein
PN96_RS12530,K02843,"waaF, rfaF; lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]"
PN96_RS11210,,
PN96_RS06155,,
PN96_RS14210,K02439,glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]
PN96_RS12805,K07400,nfuA; Fe/S biogenesis protein NfuA
PN96_RS07340,K26063,ydiJ; (R)-2-hydroxyglutarate dehydrogenase [EC:1.1.-.-]
PN96_RS11010,K03527,"ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
PN96_RS20310,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
PN96_RS06285,K11963,urtE; urea transport system ATP-binding protein
PN96_RS16210,,
PN96_RS02485,,
PN96_RS23385,K01916,nadE; NAD+ synthase [EC:6.3.1.5]
PN96_RS19225,,
PN96_RS13510,K16963,yxeO; putative S-methylcysteine transport system ATP-binding protein
PN96_RS06085,,
PN96_RS11080,K08484,"ptsP; phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]"
PN96_RS15080,K06223,dam; DNA adenine methylase [EC:2.1.1.72]
PN96_RS16740,,
PN96_RS18620,K05548,"benK; MFS transporter, AAHS family, benzoate transport protein"
PN96_RS20120,K00507,"SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]"
PN96_RS11280,K06858,btuF; vitamin B12 transport system substrate-binding protein
PN96_RS02880,K01736,aroC; chorismate synthase [EC:4.2.3.5]
PN96_RS08715,K01534,zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
PN96_RS12080,K02988,"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
PN96_RS09320,,
PN96_RS07735,K03973,pspC; phage shock protein C
PN96_RS19935,,
PN96_RS09370,K09817,znuC; zinc transport system ATP-binding protein [EC:7.2.2.20]
PN96_RS22280,,
PN96_RS10945,K08309,slt; peptidoglycan lytic transglycosylase [EC:4.2.2.29]
PN96_RS06895,K06073,btuC; vitamin B12 transport system permease protein
PN96_RS17995,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
PN96_RS17170,,
PN96_RS09280,K03684,rnd; ribonuclease D [EC:3.1.13.5]
PN96_RS11545,K07220,K07220; uncharacterized protein
PN96_RS08785,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
PN96_RS17775,,
PN96_RS07380,K01113,phoD; alkaline phosphatase D [EC:3.1.3.1]
PN96_RS00535,K02067,"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
PN96_RS23130,K07787,"cusA, silA; copper/silver efflux system protein"
PN96_RS07630,K11751,ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
PN96_RS12950,,
PN96_RS06300,K11960,urtB; urea transport system permease protein
PN96_RS13435,,
PN96_RS16660,,
PN96_RS21715,K02299,cyoC; cytochrome o ubiquinol oxidase subunit III
PN96_RS10060,K05837,"rodA, mrdB; rod shape determining protein RodA"
PN96_RS17935,,
PN96_RS18815,,
PN96_RS22150,,
PN96_RS00885,K01150,endA; deoxyribonuclease I [EC:3.1.21.1]
PN96_RS02225,K01881,"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"
PN96_RS21150,K08325,yqhD; NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
PN96_RS12540,,
PN96_RS04285,K03837,sdaC; serine transporter
PN96_RS17240,K01485,codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
PN96_RS13720,K00604,"MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]"
PN96_RS05840,K01533,copB; P-type Cu2+ transporter [EC:7.2.2.9]
PN96_RS06845,,
PN96_RS08630,K09808,lolC_E; lipoprotein-releasing system permease protein
PN96_RS08710,K00757,"udp, UPP; uridine phosphorylase [EC:2.4.2.3]"
PN96_RS08670,K07000,K07000; uncharacterized protein
PN96_RS14270,K00557,trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
PN96_RS14920,K07236,"tusC, dsrF; tRNA 2-thiouridine synthesizing protein C"
PN96_RS17990,,
PN96_RS20025,,
PN96_RS09850,K02835,"prfA, MTRF1, MRF1; peptide chain release factor 1"
PN96_RS00900,K00789,"metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]"
PN96_RS20370,K07664,"baeR, smeR; two-component system, OmpR family, response regulator BaeR"
PN96_RS13065,,
PN96_RS02255,,
PN96_RS18385,,
PN96_RS19770,,
PN96_RS19245,K26272,dgcN; D-glutamate N-acetyltransferase [EC:2.3.1.312]
PN96_RS13655,K07391,comM; magnesium chelatase family protein
PN96_RS05680,K15371,GDH2; glutamate dehydrogenase [EC:1.4.1.2]
PN96_RS06005,K06857,"tupC, vupC; tungstate transport system ATP-binding protein [EC:7.3.2.6]"
PN96_RS04770,,
PN96_RS22045,,
PN96_RS07865,K09858,K09858; SEC-C motif domain protein
PN96_RS09795,K09973,K09973; uncharacterized protein
PN96_RS17230,K01997,livH; branched-chain amino acid transport system permease protein
PN96_RS02105,,
PN96_RS14770,K09937,K09937; uncharacterized protein
PN96_RS03590,K03424,tatD; TatD DNase family protein [EC:3.1.21.-]
PN96_RS19695,,
PN96_RS07795,K07407,"E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]"
PN96_RS17790,K10022,aotJ; arginine/ornithine transport system substrate-binding protein
PN96_RS11270,K01243,"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
PN96_RS12470,,
PN96_RS13645,K11258,ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]
PN96_RS17380,K09712,K09712; uncharacterized protein
PN96_RS14445,K14393,actP; cation/acetate symporter
PN96_RS17360,,
PN96_RS10395,K00858,"ppnK, NADK; NAD+ kinase [EC:2.7.1.23]"
PN96_RS16905,K15598,thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein
PN96_RS17040,K03561,exbB; biopolymer transport protein ExbB
PN96_RS24355,,
PN96_RS06205,,
PN96_RS15525,,
PN96_RS09350,K04759,feoB; ferrous iron transport protein B
PN96_RS07260,K01889,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
PN96_RS10345,K12942,abgT; aminobenzoyl-glutamate transport protein
PN96_RS21895,K02040,pstS; phosphate transport system substrate-binding protein
PN96_RS04670,,
PN96_RS23295,,
PN96_RS07975,K09701,K09701; uncharacterized protein
PN96_RS21390,,
PN96_RS05890,K11070,potC; spermidine/putrescine transport system permease protein
PN96_RS23895,,
PN96_RS05000,K09964,K09964; uncharacterized protein
PN96_RS23615,K07814,K07814; cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
PN96_RS15400,,
PN96_RS20280,K02480,"K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]"
PN96_RS17140,,
PN96_RS11505,K09920,K09920; uncharacterized protein
PN96_RS05955,,
PN96_RS11235,K07648,"arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
PN96_RS22030,,
PN96_RS07485,,
PN96_RS08020,K00833,bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
PN96_RS19610,K02584,nifA; Nif-specific regulatory protein
PN96_RS01180,K03563,csrA; carbon storage regulator
PN96_RS15025,K24136,pgdX; glutathione-dependent peroxiredoxin [EC:1.11.1.27]
PN96_RS09515,K00939,"adk, AK; adenylate kinase [EC:2.7.4.3]"
PN96_RS13265,K02033,ABC.PE.P; peptide/nickel transport system permease protein
PN96_RS02580,K02406,"fliC, hag; flagellin"
PN96_RS19830,K21060,lhpB; D-hydroxyproline dehydrogenase [EC:1.5.99.-]
PN96_RS14895,K03745,slyX; SlyX protein
PN96_RS13050,K03183,"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
PN96_RS06655,K10538,araH; L-arabinose transport system permease protein
PN96_RS09840,,
PN96_RS22840,K04047,dps; starvation-inducible DNA-binding protein
PN96_RS05470,,
PN96_RS11295,K07090,K07090; uncharacterized protein
PN96_RS02185,,
PN96_RS08295,K01876,"DARS2, aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]"
PN96_RS13240,K00851,"idnK, gntK; gluconokinase [EC:2.7.1.12]"
PN96_RS10135,,
PN96_RS22970,,
PN96_RS22850,,
PN96_RS08700,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS19250,K19802,"ycjG, ykfB, dgcA; L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.25]"
PN96_RS08840,,
PN96_RS00950,K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
PN96_RS18530,,
PN96_RS18840,,
PN96_RS16595,K02564,"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
PN96_RS21560,,
PN96_RS03120,K03169,topB; DNA topoisomerase III [EC:5.6.2.1]
PN96_RS06605,,
PN96_RS12440,,
PN96_RS07875,K02500,hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
PN96_RS03735,K03808,pqiA; paraquat-inducible protein A
PN96_RS17925,K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
PN96_RS02775,K02194,ccmB; heme exporter protein B
PN96_RS22785,K01724,"PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]"
PN96_RS05220,,
PN96_RS04390,,
PN96_RS20455,K24954,ooxA; octopine oxidase subunit A
PN96_RS03645,K14161,imuB; protein ImuB
PN96_RS11445,K00412,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
PN96_RS13735,K04096,smf; DNA processing protein
PN96_RS23410,,
PN96_RS00500,K06861,lptB; lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
PN96_RS00670,,
PN96_RS01715,K24845,ubiV; O2-independent ubiquinone biosynthesis protein UbiV
PN96_RS02730,K03413,"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
PN96_RS13015,K03424,tatD; TatD DNase family protein [EC:3.1.21.-]
PN96_RS04765,,
PN96_RS20145,,
PN96_RS15565,K16052,"ynaI, mscMJ; MscS family membrane protein"
PN96_RS20200,K08310,"nudB, ntpA; dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]"
PN96_RS02130,K07286,yajG; uncharacterized lipoprotein
PN96_RS06575,,
PN96_RS22765,K09954,K09954; uncharacterized protein
PN96_RS12140,K02890,"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
PN96_RS22435,K00849,galK; galactokinase [EC:2.7.1.6]
PN96_RS18030,,
PN96_RS23055,,
PN96_RS08255,K07107,ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
PN96_RS22490,K00600,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
PN96_RS02670,K02415,fliL; flagellar protein FliL
PN96_RS03255,K07390,"grxD, GLRX5; monothiol glutaredoxin"
PN96_RS10605,,
PN96_RS09240,K01491,folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
PN96_RS02435,,
PN96_RS07570,,
PN96_RS06705,K01476,"rocF, arg; arginase [EC:3.5.3.1]"
PN96_RS16005,K11741,sugE; quaternary ammonium compound-resistance protein SugE
PN96_RS09475,K02804,nagE; N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]
PN96_RS21600,K09998,artM; arginine transport system permease protein
PN96_RS16035,K01581,"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
PN96_RS07115,K02315,dnaC; DNA replication protein DnaC
PN96_RS13450,K23541,"TMEM165, GDT1; Ca2+/H+ antiporter, TMEM165/GDT1 family"
PN96_RS16120,K03782,katG; catalase-peroxidase [EC:1.11.1.21]
PN96_RS05275,,
PN96_RS16025,K00822,E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
PN96_RS16865,K07025,K07025; putative hydrolase of the HAD superfamily
PN96_RS13965,K03671,"TXN, trxA; thioredoxin"
PN96_RS08285,K03550,ruvA; holliday junction DNA helicase RuvA
PN96_RS08525,K01142,"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]"
PN96_RS11880,K02062,thiQ; thiamine transport system ATP-binding protein [EC:7.6.2.15]
PN96_RS17090,,
PN96_RS17545,K02355,"fusA, GFM, EFG; elongation factor G"
PN96_RS14585,K00244,frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
PN96_RS19215,,
PN96_RS12255,,
PN96_RS10900,K03695,clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
PN96_RS10485,,
PN96_RS10740,K03386,"PRDX2_4, ahpC; peroxiredoxin 2/4 [EC:1.11.1.24]"
PN96_RS22160,,
PN96_RS15940,K25283,"yclO, ceuC; iron-siderophore transport system permease protein"
PN96_RS22955,K02275,"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
PN96_RS18185,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump"
PN96_RS02780,K02195,ccmC; heme exporter protein C
PN96_RS00590,K01478,arcA; arginine deiminase [EC:3.5.3.6]
PN96_RS20415,,
PN96_RS01485,K04752,glnK; nitrogen regulatory protein P-II 2
PN96_RS12965,,
PN96_RS14520,K04078,"groES, HSPE1; chaperonin GroES"
PN96_RS09345,K10123,feoC; putative ferrous iron transport protein C
PN96_RS11415,K07460,yraN; putative endonuclease
PN96_RS08655,,
PN96_RS08860,,
PN96_RS15300,,
PN96_RS18235,,
PN96_RS11475,K04771,"degP, htrA; serine protease Do [EC:3.4.21.107]"
PN96_RS02290,K00990,glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
PN96_RS20220,,
PN96_RS10420,K03664,smpB; SsrA-binding protein
PN96_RS18195,,
PN96_RS15840,K07152,SCO1; protein SCO1
PN96_RS15330,K23227,fhuD; ferric hydroxamate transport system substrate-binding protein
PN96_RS05940,K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
PN96_RS00610,,
PN96_RS23830,,
PN96_RS04870,,
PN96_RS22720,K05776,modF; molybdate transport system ATP-binding protein
PN96_RS17185,K06876,phrB; (6-4)DNA photolyase [EC:4.1.99.13]
PN96_RS19285,K01968,"MCCC1, accA1; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]"
PN96_RS15735,K07258,"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
PN96_RS13210,K01414,prlC; oligopeptidase A [EC:3.4.24.70]
PN96_RS10130,K02073,metQ; D-methionine transport system substrate-binding protein
PN96_RS01555,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
PN96_RS03715,,
PN96_RS19140,,
PN96_RS07920,K18218,tet35; tetracycline resistance efflux pump
PN96_RS01350,K00767,"nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]"
PN96_RS20515,K03777,dld; D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
PN96_RS04760,,
PN96_RS08025,K01875,"SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]"
PN96_RS17320,,
PN96_RS00575,K00609,"pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
PN96_RS07180,,
PN96_RS10450,K14645,K14645; serine protease [EC:3.4.21.-]
PN96_RS02050,K14682,argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]
PN96_RS22065,K00384,"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
PN96_RS07625,K02897,"RP-L25, rplY; large subunit ribosomal protein L25"
PN96_RS15065,K00891,"aroK, aroL; shikimate kinase [EC:2.7.1.71]"
PN96_RS08345,K03632,mukB; chromosome partition protein MukB
PN96_RS07870,K11755,hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]
PN96_RS09555,,
PN96_RS12190,,
PN96_RS06825,,
PN96_RS22995,,
PN96_RS07175,,
PN96_RS18410,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
PN96_RS17190,,
PN96_RS18040,K06911,"PIR; quercetin 2,3-dioxygenase [EC:1.13.11.24]"
PN96_RS08535,K10024,aotQ; arginine/ornithine transport system permease protein
PN96_RS17575,,
PN96_RS18115,,
PN96_RS20985,,
PN96_RS22400,,
PN96_RS16585,,
PN96_RS06905,K08602,"pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]"
PN96_RS03085,K07305,msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
PN96_RS04860,K00140,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
PN96_RS17960,K11927,rhlE; ATP-dependent RNA helicase RhlE [EC:5.6.2.7]
PN96_RS11865,K07080,K07080; uncharacterized protein
PN96_RS00135,K03426,"NUDT12_13, nudC; NAD+ diphosphatase [EC:3.6.1.22]"
PN96_RS11975,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25]
PN96_RS03140,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS04785,K07090,K07090; uncharacterized protein
PN96_RS20990,K11925,sgrR; SgrR family transcriptional regulator
PN96_RS12120,K02961,"RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17"
PN96_RS06755,,
PN96_RS22405,,
PN96_RS10995,,
PN96_RS14390,K02687,prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]
PN96_RS15410,K02038,pstA; phosphate transport system permease protein
PN96_RS14790,K13771,"nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor"
PN96_RS16235,K10538,araH; L-arabinose transport system permease protein
PN96_RS05010,K09969,"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
PN96_RS17745,,
PN96_RS08105,K13935,mdcH; malonate decarboxylase epsilon subunit [EC:2.3.1.39]
PN96_RS02425,K03469,"rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]"
PN96_RS04960,,
PN96_RS21605,K09999,artQ; arginine transport system permease protein
PN96_RS06875,K08224,"ynfM, yybF; MFS transporter, YNFM family, putative membrane transport protein"
PN96_RS07565,K17230,fccA; cytochrome subunit of sulfide dehydrogenase
PN96_RS16315,K07090,K07090; uncharacterized protein
PN96_RS23040,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS03385,K15582,oppC; oligopeptide transport system permease protein
PN96_RS00630,K07091,lptF; lipopolysaccharide export system permease protein
PN96_RS20230,K19055,"prdX, proX; Ala-tRNA(Pro) deacylase [EC:3.1.1.-]"
PN96_RS04370,,
PN96_RS02000,K00674,"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
PN96_RS18365,K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
PN96_RS12390,K12990,"rfbF, rhlC; rhamnosyltransferase [EC:2.4.1.-]"
PN96_RS11050,K03717,"nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA"
PN96_RS10950,K06020,ettA; energy-dependent translational throttle protein EttA
PN96_RS21840,K02430,"fucR; DeoR family transcriptional regulator, L-fucose operon activator"
PN96_RS06665,K10441,rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]
PN96_RS21790,,
PN96_RS09140,K17316,"gtsB, glcF; glucose/mannose transport system permease protein"
PN96_RS19170,K01997,livH; branched-chain amino acid transport system permease protein
PN96_RS18715,K05365,mrcB; penicillin-binding protein 1B [EC:2.4.99.28 3.4.16.4]
PN96_RS15320,K02014,TC.FEV.OM; iron complex outermembrane recepter protein
PN96_RS02170,K00351,nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
PN96_RS17160,,
PN96_RS03995,,
PN96_RS18665,,
PN96_RS20810,,
PN96_RS07770,K19229,sapD; cationic peptide transport system ATP-binding protein
PN96_RS10255,K11752,ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
PN96_RS13990,K05368,"fre, ubiB; NAD(P)H-flavin reductase [EC:1.5.1.41]"
PN96_RS22740,,
PN96_RS08380,K03604,"purR; LacI family transcriptional regulator, purine nucleotide synthesis repressor"
PN96_RS14575,K00246,frdC; succinate dehydrogenase subunit C
PN96_RS01275,K07173,luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]
PN96_RS08055,,
PN96_RS03820,K08344,scsB; suppressor for copper-sensitivity B
PN96_RS11630,K02406,"fliC, hag; flagellin"
PN96_RS13195,,
PN96_RS10410,K09801,K09801; uncharacterized protein
PN96_RS14580,K00245,frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
PN96_RS22580,,
PN96_RS05225,,
PN96_RS01095,K04765,mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
PN96_RS09530,K10922,toxS; transmembrane regulatory protein ToxS
PN96_RS04095,K19736,"aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness"
PN96_RS02455,,
PN96_RS17980,,
PN96_RS21515,,
PN96_RS17395,,
PN96_RS09075,K01338,lon; ATP-dependent Lon protease [EC:3.4.21.53]
PN96_RS01585,K15724,erpA; iron-sulfur cluster insertion protein
PN96_RS19955,K10441,rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]
PN96_RS10925,K05809,raiA; ribosome-associated inhibitor A
PN96_RS12730,K00942,"gmk, GUK1; guanylate kinase [EC:2.7.4.8]"
PN96_RS18730,,
PN96_RS19175,K01998,livM; branched-chain amino acid transport system permease protein
PN96_RS00160,K03699,"tlyC; magnesium and cobalt exporter, CNNM family"
PN96_RS16850,K02647,cdaR; carbohydrate diacid regulator
PN96_RS05845,,
PN96_RS24250,,
PN96_RS10110,K03485,"treR; LacI family transcriptional regulator, trehalose operon repressor"
PN96_RS08390,,
PN96_RS04830,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
PN96_RS19900,K14059,int; integrase
PN96_RS07410,,
PN96_RS09535,K07090,K07090; uncharacterized protein
PN96_RS00845,K06997,"yggS, PROSC; PLP dependent protein"
PN96_RS12695,K02014,TC.FEV.OM; iron complex outermembrane recepter protein
PN96_RS08685,,
PN96_RS08395,,
PN96_RS03965,K00766,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
PN96_RS00190,K13638,"zntR; MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA"
